time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
11.15,11.15,0.0,0.0,0.0,0.0,4,0.0
14.2,3.05,1.576,0.104,1.576,0.104,4,1.576
15.9,1.7,4.301,3.182,4.301,3.182,4,2.725
16.15,0.1,8.96,5.139,8.96,5.139,4,4.659
16.25,0.1,9.064,5.311,9.064,5.311,4,0.104
16.55,0.3,10.558,5.587,10.558,5.587,4,1.494
17.0,0.15,41.631,92.003,41.631,92.003,4,31.073
17.4,0.35,45.191,95.339,45.191,95.339,4,3.56
17.45,17.45,58.62,97.632,0.0,0.0,1,15.424
18.3,18.3,83.432,121.514,0.0,0.0,3,22.817
31.85,14.4,1350.541,264002.592,60.615,120.937,4,3621.173
33.45,1.6,1512.524,301815.114,60.667,121.195,4,0.052
33.55,0.1,1516.027,303644.32,62.13,121.419,4,1.463
33.75,0.2,1537.933,307526.286,66.665,122.263,4,4.535
33.9,0.15,1556.199,310549.375,69.591,122.487,4,2.926
40.5,6.6,2315.033,419673.833,79.521,122.591,4,9.93
40.85,0.35,2347.124,422571.831,82.593,123.125,4,3.072
41.1,0.25,2363.362,424676.931,85.519,123.573,4,2.926
41.75,0.6,2439.848,431106.911,96.433,123.781,4,10.914
50.15,8.4,3328.54,576078.728,107.57,124.039,4,11.137
50.25,0.1,3338.084,577260.81,109.106,124.349,4,1.536
50.4,0.15,3353.847,579264.998,110.569,124.573,4,1.463
52.05,1.65,3401.832,603851.103,115.238,124.625,4,4.669
56.15,4.05,3765.53,691103.188,124.244,124.883,4,9.006
57.15,0.1,3769.81,698740.724,3621.173,698615.16,3,1.576
57.85,1.7,3830.286,713923.652,125.82,124.987,4,147.689
57.95,0.1,3839.798,716535.065,130.126,125.573,4,4.306
60.65,2.55,3934.014,755314.223,142.39,126.125,4,12.264
60.95,0.3,3937.068,755314.809,145.389,126.659,4,2.999
61.05,0.4,3938.531,755315.033,3768.862,755187.573,3,1.463
61.1,0.15,3938.739,755315.137,146.852,126.883,4,0.208
61.75,0.65,3943.408,755315.189,151.521,126.935,4,4.669
62.3,0.55,3945.014,755315.447,153.127,127.193,4,1.606
62.6,0.25,3970.914,755384.573,179.027,196.319,4,25.9
62.9,0.15,4003.473,755384.989,211.586,196.735,4,32.559
63.2,0.25,4044.329,755456.342,252.442,268.088,4,40.856
63.8,0.55,4047.855,755460.571,255.968,272.317,4,3.526
64.05,3.0,4097.167,755462.779,3769.07,755187.677,3,49.312
64.6,0.6,4097.271,755462.831,305.28,274.525,4,0.104
65.05,0.35,4125.004,755534.19,333.013,345.884,4,27.733
65.3,0.1,4157.685,755534.606,365.694,346.3,4,32.681
66.75,1.4,4198.541,755607.136,406.55,418.83,4,40.856
