time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
0.0,0.0,0.0,0.0,0.0,0.0,4,0.0
6.75,6.75,2.718,0.104,2.718,0.104,4,2.718
14.25,7.5,4.294,0.208,4.294,0.208,4,1.576
16.0,1.75,7.071,3.292,7.071,3.292,4,2.777
16.3,0.1,11.834,5.43,11.834,5.43,4,4.763
16.6,0.3,13.328,5.654,13.328,5.654,4,1.494
16.9,0.1,44.045,70.399,44.045,70.399,4,30.717
17.1,0.15,44.403,99.251,44.403,99.251,4,0.358
17.55,0.4,47.963,103.01,47.963,103.01,4,3.56
17.55,17.55,47.963,103.01,0.0,0.0,6,3.03
18.4,18.4,51.57,126.5,0.0,0.0,3,0.577
18.55,0.1,53.595,131.68,2.025,5.18,3,2.025
18.95,0.15,64.463,2301.649,12.893,2175.149,3,10.868
20.35,0.15,111.055,29635.325,59.485,29508.825,3,46.592
20.6,0.2,111.471,29638.301,59.901,29511.801,3,0.416
20.8,0.2,111.679,29638.509,60.109,29512.009,3,0.208
21.05,0.2,111.887,29638.717,60.317,29512.217,3,0.208
21.15,0.1,112.095,29638.925,60.525,29512.425,3,0.208
21.75,4.15,136.171,44330.455,50.993,103.683,4,31.304
22.05,0.1,144.975,48222.452,91.829,48095.848,3,1.576
22.7,22.7,165.879,60519.986,0.0,0.0,0,20.904
22.8,0.15,166.043,60520.282,112.733,60393.382,3,0.164
23.05,0.2,166.459,60521.338,113.149,60394.438,3,0.416
23.25,0.2,166.511,60521.39,113.201,60394.49,3,0.052
23.5,0.2,166.875,60521.754,113.565,60394.854,3,0.364
24.15,0.65,166.927,60521.806,113.617,60394.906,3,0.052
24.4,0.2,167.291,60522.17,113.981,60395.27,3,0.364
24.5,0.1,167.343,60522.222,114.033,60395.322,3,0.052
24.55,1.85,168.279,60724.226,0.164,0.296,0,19.815
25.1,0.15,190.162,72381.047,133.848,72253.918,3,3.004
27.7,2.4,197.151,75817.317,140.837,75690.188,3,6.989
28.55,0.85,197.255,75817.369,140.941,75690.24,3,0.104
29.15,0.6,197.359,75817.421,141.045,75690.292,3,0.104
29.2,7.45,197.411,75817.525,52.569,103.787,4,48.752
29.45,0.15,254.562,78683.342,99.24,143.141,4,46.671
30.85,0.2,297.184,102615.265,189.797,102448.73,3,4.402
31.25,0.2,297.912,102843.469,190.525,102676.934,3,0.728
31.5,0.2,298.12,102843.677,190.733,102677.142,3,0.208
31.65,0.15,298.172,102843.729,190.785,102677.194,3,0.052
34.15,4.7,336.355,125521.929,103.642,143.193,4,38.183
34.9,0.7,349.675,125522.187,116.962,143.451,4,13.32
35.15,0.25,354.156,125522.239,121.443,143.503,4,4.481
35.4,0.2,367.599,125522.395,134.886,143.659,4,13.443
36.5,3.85,372.08,125522.551,228.968,125355.498,3,4.481
36.7,0.1,372.288,125522.707,229.176,125355.654,3,0.208
36.75,1.35,372.34,125522.707,139.367,143.711,4,0.052
37.65,0.95,373.916,125522.811,229.228,125355.654,3,1.576
39.3,1.65,374.176,125523.071,229.488,125355.914,3,0.26
44.15,7.4,374.28,125523.123,140.943,143.815,4,0.104
51.75,7.6,375.886,125523.381,142.549,144.073,4,1.606
54.15,2.4,377.462,125523.485,144.125,144.177,4,1.576
56.05,1.9,379.068,125523.743,145.731,144.435,4,1.606
56.1,31.55,404.812,125587.109,3.168,0.525,0,27.143
56.1,56.1,404.812,125587.109,0.0,0.0,2,10.671
56.15,56.15,406.383,125587.893,0.0,0.0,1,16.52
56.15,38.55,406.383,125587.893,0.577,22.817,6,2.56
56.3,0.1,429.311,126814.675,2.56,0.892,1,21.244
56.5,0.1,448.688,128603.761,6.938,202.889,1,4.378
56.6,0.1,456.644,129512.309,13.839,523.342,0,7.956
59.1,2.3,475.988,131499.983,21.821,2775.41,6,6.448
59.15,2.25,476.152,131500.279,20.287,1172.129,0,0.164
59.15,2.25,476.152,131500.279,14.894,955.052,1,0.064
59.65,2.8,476.38,131500.87,16.52,1032.901,2,0.164
59.85,0.2,476.44,131500.982,16.58,1033.013,2,0.06
60.15,0.25,476.856,131502.585,16.996,1034.616,2,0.416
60.3,1.15,477.168,131503.797,20.351,1172.424,0,0.312
60.3,1.1,477.168,131503.797,15.058,955.348,1,2.811
60.3,0.1,477.168,131503.797,17.308,1035.828,2,2.811
60.3,1.2,477.168,131503.797,21.985,2775.706,6,1.208
60.4,0.1,486.809,131505.668,24.796,2775.935,6,2.811
60.55,0.2,2754.278,131518.129,18.516,1037.064,2,9581.342
60.75,0.4,7169.345,131540.489,17.869,955.577,1,9547.409
60.8,0.5,7852.243,131543.995,23.162,1172.601,0,384.38
61.15,0.1,10064.392,131557.903,544.989,1176.57,0,521.827
61.15,0.1,10064.392,131557.903,402.249,959.258,1,1718.154
61.25,0.1,12398.781,131565.131,403.749,959.258,1,1.5
61.55,5.45,16250.619,131578.727,172.874,208.525,4,630.227
61.6,0.35,16546.464,131586.893,9606.138,2813.486,6,7.701
61.65,0.1,17089.767,131603.906,180.575,216.119,4,15.575
61.75,0.1,17687.58,133344.632,2263.143,1183.314,0,28.117
61.8,0.1,17714.719,134804.792,208.692,246.443,4,9491.257
61.9,0.1,18571.612,135476.651,1033.976,963.434,1,9.75
62.0,0.1,19762.692,135856.613,1053.164,963.486,1,19.188
62.15,0.1,22726.053,136207.117,1088.54,963.59,1,35.376
62.35,0.2,25484.296,138224.974,1125.416,963.694,1,36.876
62.9,0.1,29164.266,142371.51,1592.836,1110.577,1,467.42
64.0,2.2,37896.997,146051.29,218.442,246.547,4,13124.97
64.2,0.1,42518.163,146070.79,242.442,246.807,4,24.0
66.75,2.55,46133.484,146081.773,244.048,247.065,4,1.606
74.15,7.4,46135.06,146081.877,245.624,247.169,4,1.576
79.35,5.2,46136.666,146082.135,247.23,247.427,4,1.606
79.4,16.15,46160.729,146147.8,11754.4,5634.467,0,38.599
79.4,15.0,46160.729,146147.8,14717.806,4807.454,1,5.2
79.4,17.05,46160.729,146147.8,9565.925,3584.733,2,24.846
79.45,17.65,46177.448,146151.303,9621.713,6452.088,6,18.538
79.65,0.1,46200.566,147198.604,11759.6,5781.444,0,15.809
80.05,0.1,46237.481,149711.542,11765.008,6093.154,0,5.408
81.05,1.65,46248.394,150809.527,285.829,316.025,4,3.328
81.2,0.15,46251.318,150809.975,288.753,316.473,4,2.924
81.55,0.25,46254.242,150810.423,291.677,316.921,4,2.924
81.75,0.15,46260.09,150811.319,297.525,317.817,4,5.848
83.15,3.0,46261.666,150811.607,11768.336,6444.721,0,1.576
83.15,3.05,46261.666,150811.607,9637.522,7457.051,6,0.064
83.2,3.05,46262.002,150813.249,9584.463,4622.374,2,0.74
83.45,1.7,46262.534,150816.747,299.101,319.171,4,0.064
83.55,3.45,46262.598,150817.924,14742.652,6613.574,1,0.064
87.2,4.05,46263.39,150821.46,11768.4,6444.832,0,0.792
87.2,3.5,46263.39,150821.46,14743.444,6617.11,1,3.442
87.2,4.0,46263.39,150821.46,9584.527,4622.669,2,11791.176
87.2,4.0,46263.39,150821.46,9638.262,7460.535,6,3.442
87.3,3.85,47056.641,150834.034,299.165,320.348,4,8754.407
87.45,0.2,58057.391,150859.512,11771.842,6445.061,0,21.926
87.55,0.3,65219.207,150873.623,9587.969,4622.898,2,3182.157
88.6,0.1,78706.567,150950.972,14953.999,6471.13,0,13923.586
89.1,1.5,85051.118,150990.461,26534.62,6634.998,1,1109.406
89.1,1.75,85051.118,150990.461,321.091,320.658,4,23.25
89.15,0.3,85062.813,150998.595,23511.555,4711.754,2,10.122
89.15,1.7,85062.813,150998.595,18392.669,7490.019,6,19.757
89.25,0.1,85072.114,151669.176,18392.982,7490.019,6,0.313
89.4,0.25,85084.834,153110.26,16063.405,6477.118,0,0.24
89.45,0.35,85106.466,153601.801,331.213,328.792,4,18.876
89.45,0.2,85106.466,153601.801,18393.222,7490.083,6,4.31
89.55,0.15,85119.06,154278.194,16082.281,6477.222,0,11.552
89.75,0.1,85245.916,155657.346,16191.193,6477.482,0,108.912
90.6,1.15,85461.381,155979.984,335.523,329.154,4,211.117
90.7,0.1,85462.844,155980.208,336.986,329.378,4,1.463
93.8,3.05,85468.696,155981.104,342.838,330.274,4,5.852
94.15,0.35,85474.456,155981.156,348.598,330.326,4,5.76
96.75,2.45,85506.889,155981.622,381.031,330.792,4,32.433
103.55,13.8,85508.465,155981.726,26557.87,8747.611,1,1.576
103.55,13.75,85508.465,155981.726,23531.312,6650.547,2,0.942
103.55,6.8,85508.465,155981.726,382.607,330.896,4,18.952
103.55,13.75,85508.465,155981.726,18404.774,8323.278,6,26.883
103.65,13.85,85678.812,156582.58,16402.31,6573.428,0,1753.682
103.75,0.1,85934.916,157053.332,16402.936,6573.428,0,0.626
103.8,0.2,86132.826,157302.444,26558.812,8747.663,1,6468.35
104.0,0.2,86359.432,158229.256,26559.577,8747.831,1,0.765
104.1,0.1,86709.767,158958.723,26559.891,8747.935,1,0.314
104.2,0.1,86891.313,159697.808,26560.205,8748.039,1,0.314
104.2,0.1,86891.313,159697.808,23550.264,7713.659,2,5973.988
108.65,3.6,104364.676,160070.362,22871.286,7638.846,0,4611.395
108.65,3.6,104364.676,160070.362,32534.193,8809.421,1,13.589
108.65,5.1,104364.676,160070.362,409.49,397.147,4,0.802
108.65,4.45,104364.676,160070.362,20158.456,10127.383,6,7.861
108.7,4.05,104374.627,160148.602,28161.659,7741.599,2,12.658
108.8,0.1,104383.991,160917.315,32534.995,8809.611,1,10.137
109.15,0.2,104420.919,163319.419,20171.114,10939.103,6,11.612
111.75,3.1,104422.375,163558.816,417.351,404.98,4,1.04
112.8,1.05,104423.951,163558.92,418.927,405.084,4,1.576
113.05,0.15,104444.181,163559.128,439.157,405.292,4,20.23
114.15,1.1,104449.216,163559.18,444.192,405.344,4,5.035
114.5,5.35,104450.822,163559.438,32546.607,9662.78,1,1.606
114.5,5.4,104450.822,163559.438,28171.796,8559.479,2,112.246
114.5,0.35,104450.822,163559.438,445.798,405.602,4,549.489
114.55,5.4,104478.248,163625.991,22884.875,8455.968,0,27.039
114.55,5.4,104478.248,163625.991,20172.154,11119.643,6,55.502
115.2,0.1,105392.392,167317.573,22940.377,8912.031,0,1094.849
115.3,0.15,105619.851,167994.178,32658.853,11066.897,1,3138.819
115.4,0.1,106514.125,168665.555,28721.285,9688.265,2,5452.894
115.8,0.15,114672.997,168728.836,26079.196,8923.367,0,981.274
119.3,3.1,120818.595,168753.368,31034.857,8944.779,0,4955.661
119.3,3.75,120818.595,168753.368,29702.559,9721.029,2,21.518
119.3,4.8,120818.595,168753.368,472.837,472.103,4,7.346
119.3,3.9,120818.595,168753.368,21267.003,13169.617,6,20.705
119.35,3.35,120841.588,168812.412,38111.747,11089.874,1,20.112
119.4,0.1,120847.73,169113.08,493.542,487.821,4,0.852
119.55,0.1,120862.611,169797.407,38112.599,11090.202,1,0.18
119.8,0.2,120887.04,171585.817,29709.905,9928.349,2,11.364
123.3,3.9,120906.12,172879.241,493.722,493.886,4,5.448
123.45,0.1,120921.225,172879.397,508.827,494.042,4,15.105
123.8,3.85,120931.295,172879.501,31056.375,10501.323,0,10.07
123.8,0.35,120931.295,172879.501,518.897,494.146,4,3345.38
123.8,3.85,120931.295,172879.501,21287.115,14299.88,6,27.039
123.85,3.9,120959.049,172946.28,38123.963,11971.977,1,1564.601
123.85,3.9,120959.049,172946.28,29715.353,10256.209,2,3.986
124.0,0.15,121394.065,173856.133,38127.949,11972.58,1,7.036
124.25,0.1,121577.816,175296.676,29722.389,10421.636,2,72.623
124.4,0.1,122048.079,176088.244,38200.572,12619.153,1,2158.34
124.7,0.1,124135.285,178012.355,22851.716,15738.683,6,4681.529
125.2,0.15,132882.177,178053.155,34401.755,12216.979,0,90.348
126.75,2.95,136116.175,178059.551,545.936,560.735,4,3233.998
