time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
3.52729662,0.244,244,2,0.244,32.768,0.244,100.889,0
3.571692524,0.183,183,2,0.427,49.152,0.427,117.273,0.044395904
4.581733568,0.183,183,2,0.61,65.536,0.61,133.657,1.010041044
5.582810623,0.183,183,2,0.793,81.92,0.793,150.041,1.001077055
6.583668062,0.183,183,2,0.976,98.304,0.976,166.425,1.000857439
7.58452797,0.183,183,2,1.159,114.688,1.159,182.809,1.000859908
8.585444107,0.183,183,2,1.342,131.072,1.342,199.193,1.000916137
9.586228284,0.183,183,2,1.525,147.456,1.525,215.577,1.000784177
10.58702471,0.183,183,2,1.708,163.84,1.708,231.961,1.000796426
11.588034835,0.183,183,2,1.891,180.224,1.891,248.345,1.001010125
12.588853051,0.183,183,2,2.074,196.608,2.074,264.729,1.000818216
13.589655526,0.183,183,2,2.257,212.992,2.257,281.113,1.000802475
14.590343378,0.183,183,2,2.44,229.376,2.44,297.497,1.000687852
15.591030709,0.183,183,2,2.623,245.76,2.623,313.881,1.000687331
16.591800807,0.183,183,2,2.806,262.144,2.806,330.265,1.000770098
17.592556269,0.183,183,2,2.989,278.528,2.989,346.649,1.000755462
18.594295111,0.183,183,2,3.172,286.72,3.172,354.841,1.001738842
19.282841621,0.268,268,4,0.268,8.452,3.606,366.025,0.68854651
18.738259013,0.166,166,2,3.338,297.644,3.859,382.409,0
19.618746297,0.219,219,2,3.557,330.412,4.078,415.177,0.880487284
19.837591975,0.283,283,2,3.84,346.796,4.361,431.561,0.218845678
19.879686219,0.207,207,2,4.047,363.18,4.568,447.945,0.042094244
19.91992673,0.102,102,2,4.149,371.372,4.67,456.137,0.040240511
19.322013239,0.253,253,4,0.521,24.836,4.794,73925.327,0
20.333444646,0.291,291,4,0.812,25.123,5.085,74516.638,1.011431407
19.947657801,0.124,124,2,4.273,120325.328,5.319,120426.764,0
20.336092346,0.234,234,4,1.046,41.507,5.538,247374.702,0.388434545
21.338092874,0.405,405,4,1.451,41.908,5.943,247685.264,1.002000528
20.620001829,0.219,219,2,4.492,299058.143,6.173,299176.364,0
21.340197883,0.23,230,4,1.681,58.292,6.392,408169.995,0.720196054
21.628712755,0.219,219,2,4.711,435208.404,6.907,435343.52,0.288514872
22.553860811,0.124,124,2,4.835,443628.12,7.031,443763.236,0.925148056
22.341300901,0.515,515,4,2.196,75.187,7.25,537234.879,0
22.636491582,0.219,219,2,5.054,575300.026,7.765,575452.037,0.295190681
23.343045332,0.515,515,4,2.711,92.082,7.984,652993.303,0.70655375
23.644633953,0.219,219,2,5.273,652841.292,8.499,653010.198,0.301588621
24.652059924,0.219,219,2,5.492,652857.676,8.718,653026.582,1.007425971
25.09898471,0.174,174,2,5.666,652874.06,8.892,653042.966,0.446924786
24.344802833,0.515,515,4,3.226,108.977,9.08,653051.158,0
25.103893607,0.188,188,2,5.854,652882.252,9.731,653059.997,0.759090774
25.108836076,0.122,122,2,5.976,653149.443,9.853,653335.38,0.004942469
25.106199846,0.651,651,4,3.877,126.008,10.023,653343.572,0
25.145839253,0.17,170,2,6.146,653165.827,10.52,653368.641,0.039639407
25.15278822,0.184,184,2,6.33,653174.019,10.704,653376.833,0.006948967
25.147052763,0.497,497,4,4.374,142.885,10.826,653440.368,0
25.15788232,0.122,122,2,6.452,653237.554,11.205,653457.127,0.010829557
25.177694193,0.379,379,4,4.753,159.644,11.424,653473.511,0.019811873
25.657037625,0.219,219,2,6.671,653253.938,11.736,653506.583,0.479343432
26.661940896,0.219,219,2,6.89,653262.13,11.955,653514.775,1.004903271
27.329680563,0.176,176,2,7.066,653263.154,12.131,653515.799,0.667739667
27.410007452,0.154,154,2,7.22,653266.226,12.285,653518.871,0.080326889
27.580605138,0.17,170,2,7.39,653268.274,12.455,653520.919,0.170597686
27.62146017,0.172,172,2,7.562,653277.49,12.627,653530.135,0.040855032
27.665965474,0.219,219,2,7.781,653285.682,12.846,653538.327,0.044505304
27.927100473,0.177,177,2,7.958,653286.674,13.023,653539.319,0.261134999
27.954607437,0.176,176,2,8.134,653287.634,13.199,653540.279,0.027506964
27.982245776,1.53,1530,2,9.664,653288.562,14.729,653541.207,0.027638339
28.061078799,1.256,1256,2,10.92,653289.458,15.985,653542.103,0.078833023
28.078123367,0.171,171,2,11.091,653298.514,16.156,653551.159,0.017044568
28.668726269,0.219,219,2,11.31,653314.898,16.375,653567.543,0.590602902
29.669448378,0.219,219,2,11.529,653331.282,16.594,653583.927,1.000722109
30.670192681,0.219,219,2,11.748,653347.666,16.813,653600.311,1.000744303
31.670943876,0.219,219,2,11.967,653364.05,17.032,653616.695,1.000751195
32.671717728,0.219,219,2,12.186,653380.434,17.251,653633.079,1.000773852
33.672325776,0.219,219,2,12.405,653396.818,17.47,653649.463,1.000608048
34.673364781,0.219,219,2,12.624,653413.202,17.689,653665.847,1.001039005
35.674008351,0.219,219,2,12.843,653429.586,17.908,653682.231,1.00064357
36.674688612,0.219,219,2,13.062,653445.97,18.127,653698.615,1.000680261
37.675412554,0.219,219,2,13.281,653462.354,18.346,653714.999,1.000723942
38.676105062,0.219,219,2,13.5,653478.738,18.565,653731.383,1.000692508
39.676836374,0.219,219,2,13.719,653495.122,18.784,653747.767,1.000731312
40.677492023,0.219,219,2,13.938,653511.506,19.003,653764.151,1.000655649
41.678226,0.219,219,2,14.157,653527.89,19.222,653780.535,1.000733977
42.678977534,0.219,219,2,14.376,653536.082,19.441,653788.727,1.000751534
42.98690605,0.339,339,2,14.715,653544.69,19.78,653797.335,0.307928516
43.679882984,0.219,219,2,14.934,653561.074,19.999,653813.719,0.692976934
44.680623036,0.219,219,2,15.153,653577.458,20.218,653830.103,1.000740052
45.681405632,0.219,219,2,15.372,653585.65,20.437,653838.295,1.000782596
46.682105149,0.219,219,2,15.591,653602.034,20.656,653854.679,1.000699517
47.682853931,0.219,219,2,15.81,653626.994,20.875,653879.639,1.000748782
48.683943016,0.22,220,2,16.03,653635.186,21.095,653887.831,1.001089085
48.687225104,1.575,1575,2,17.605,653635.186,22.67,653887.831,0.003282088
48.813704023,0.286,286,2,17.891,653642.354,22.956,653894.999,0.126478919
48.882830751,0.189,189,2,18.08,653644.402,23.145,653897.047,0.069126728
49.281819614,0.286,286,2,18.366,653760.114,23.431,654012.759,0.398988863
49.290009481,0.189,189,2,18.555,653769.33,23.62,654021.975,0.008189867
50.261110087,0.229,229,8,0.229,32.768,24.069,654064.983,0.971100606
49.685035864,0.22,220,2,18.775,653785.714,24.323,654609.951,0
50.686180377,0.22,220,2,18.995,653802.098,24.543,664206.92,1.001144513
51.687221961,0.22,220,2,19.215,653818.482,24.763,674200.327,1.001041584
52.688302869,0.22,220,2,19.435,653826.674,24.983,677512.169,1.001080908
53.014188923,2.513,2513,2,21.948,653835.378,27.496,684987.122,0.325886054
53.689361375,0.22,220,2,22.168,653851.762,27.716,696169.843,0.675172452
54.690432067,0.22,220,2,22.388,653868.146,27.936,706691.834,1.001070692
55.691382594,0.22,220,2,22.608,653884.53,28.156,718469.212,1.000950527
