dst,size,time
10,3280,1524634939531804
10,16,1524634939532152
10,16,1524634939532239
10,14748,1524634939532313
10,16,1524634939538507
10,16,1524634939538587
10,6556,1524634939538655
10,52,1524634939538721
10,52,1524634939538784
10,1640,1524634939538847
10,8,1524634939538909
10,8,1524634939538973
10,3688,1524634939539039
10,8,1524634939539105
10,8,1524634939539168
10,1640,1524634939539232
10,28,1524634939539295
10,28,1524634939539356
10,52432,1524634939539421
10,52,1524634939539497
10,52,1524634939539562
10,235932,1524634939539626
10,52,1524634939539699
10,52,1524634939539762
10,104860,1524634939539827
10,208,1524634939539898
10,208,1524634939539964
10,13108,1524634939540028
10,28,1524634939540097
10,28,1524634939540160
10,58984,1524634939540224
10,28,1524634939540295
10,28,1524634939540358
10,26216,1524634939540421
10,104,1524634939540491
10,104,1524634939540554
10,6556,1524634939540618
10,16,1524634939540679
10,16,1524634939540738
10,14748,1524634939540800
10,16,1524634939540867
10,16,1524634939540930
10,6556,1524634939540992
10,52,1524634939541053
10,52,1524634939541112
10,6556,1524634939541174
10,16,1524634939541234
10,16,1524634939541293
10,14748,1524634939541355
10,16,1524634939541423
10,16,1524634939541484
10,6556,1524634939541569
10,52,1524634939541639
10,52,1524634939541708
10,6556,1524634939541776
10,16,1524634939541860
10,16,1524634939541919
10,14748,1524634939541982
10,16,1524634939542051
10,16,1524634939542113
10,6556,1524634939542176
10,52,1524634939542237
10,52,1524634939542297
10,412,1524634939542359
10,8,1524634939542418
10,8,1524634939542477
10,3688,1524634939542539
10,8,1524634939542599
10,8,1524634939542657
10,1640,1524634939542720
10,28,1524634939542782
10,28,1524634939542841
10,944,1524634939542902
10,8,1524634939542961
10,8,1524634939543020
10,204800,1524634939543083
10,100,1524634939543155
10,104860,1524634939543220
10,52,1524634939543289
10,52,1524634939543353
10,235932,1524634939543416
10,52,1524634939543486
10,52,1524634939543550
10,104860,1524634939543613
10,208,1524634939543685
10,208,1524634939543749
10,104860,1524634939543813
10,52,1524634939543883
10,52,1524634939543946
10,235932,1524634939544010
10,52,1524634939544080
10,52,1524634939544143
10,104860,1524634939544206
10,208,1524634939544276
10,208,1524634939544340
10,209716,1524634939544403
10,208,1524634939544475
10,208,1524634939544538
10,26216,1524634939544601
10,28,1524634939544669
10,28,1524634939544732
10,58984,1524634939544794
10,28,1524634939544862
10,28,1524634939544925
10,26216,1524634939544987
10,104,1524634939545056
10,104,1524634939545119
10,26216,1524634939545182
10,28,1524634939545250
10,28,1524634939545312
10,58984,1524634939545374
10,28,1524634939545443
10,28,1524634939545507
10,26216,1524634939545590
10,104,1524634939545670
10,104,1524634939545742
10,52432,1524634939545833
10,104,1524634939545902
10,104,1524634939545966
10,26216,1524634939546028
10,28,1524634939546097
10,28,1524634939546158
10,58984,1524634939546221
10,28,1524634939546290
10,28,1524634939546352
10,26216,1524634939546415
10,104,1524634939546484
10,104,1524634939546548
10,26216,1524634939546610
10,28,1524634939546687
10,28,1524634939546751
10,58984,1524634939546814
10,28,1524634939546883
10,28,1524634939546946
10,26216,1524634939547008
10,104,1524634939547078
10,104,1524634939547141
10,13108,1524634939547204
10,52,1524634939547272
10,52,1524634939547334
10,26216,1524634939547396
10,28,1524634939547465
10,28,1524634939547529
10,58984,1524634939547595
10,28,1524634939547663
10,28,1524634939547726
10,26216,1524634939547788
10,104,1524634939547858
10,104,1524634939547923
10,1640,1524634939547984
10,8,1524634939548044
10,8,1524634939548104
10,3688,1524634939548165
10,8,1524634939548226
10,8,1524634939548286
10,1640,1524634939548347
10,28,1524634939548408
10,28,1524634939548467
10,1640,1524634939548528
10,28,1524634939548587
10,28,1524634939548647
10,3280,1524634939555287
10,3280,1524634939555712
10,3280,1524634939555747
10,3280,1524634939555772
10,3280,1524634939555796
