time,dr,drc,dw,dwc,nr,nwfirst,size
573178,24960,6,0,0,8192,8192,11390
2288601,91136,19,0,0,8192,8192,75542
1739017,33280,8,0,0,8192,8192,19157
721730,16640,4,0,0,8192,737,737
1100519,25088,7,0,0,8192,8192,15333
919687,25088,7,0,0,8192,8192,9686
720748,16768,5,0,0,8192,719,719
2307918,74752,17,0,0,8192,8192,65536
1469655,16768,5,0,0,8192,625,625
1542036,16768,5,0,0,8192,679,679
511756,25088,7,0,0,8192,8192,10753
1485204,16768,5,0,0,8192,625,625
1883655,16640,4,0,0,8192,621,621
1856393,25088,7,0,0,8192,8192,10027
622802,25088,7,0,0,8192,8192,9598
1729819,16768,5,0,0,8192,617,617
1639816,16768,5,0,0,8192,658,658
1948462,33408,9,0,0,8192,8192,17504
2076700,58368,15,0,0,8192,8192,46958
2492866,74368,14,0,0,8192,8192,62815
2098819,49920,12,0,0,8192,8192,35924
1914948,41600,10,0,0,8192,8192,26544
720458,16640,4,0,0,8192,652,652
3313550,157440,33,0,0,8192,8192,146278
1767814,41728,11,0,0,8192,8192,26544
1430791,16768,5,0,0,8192,637,637
914824,24960,6,0,0,8192,8192,14540
1546257,16768,5,0,0,8192,679,679
1742022,25088,7,0,0,8192,8192,9861
1852540,33408,9,0,0,8192,8192,20250
1815399,33280,8,0,0,8192,8192,20148
631774,16768,5,0,0,8192,618,618
1976745,41728,11,0,0,8192,8192,29360
1479410,16768,5,0,0,8192,622,622
1846613,16768,5,0,0,8192,743,743
1668654,25088,7,0,0,8192,8192,9071
1893509,41600,10,0,0,8192,8192,28259
1695247,25088,7,0,0,8192,8192,10583
2119354,49920,12,0,0,8192,8192,37314
2886543,99712,23,0,0,8192,8192,83229
1593669,16768,5,0,0,8192,606,606
1948983,25088,7,0,0,8192,8192,11517
1704677,33280,8,0,0,8192,8192,18955
2314007,74880,18,0,0,8192,8192,63567
1817293,41600,10,0,0,8192,8192,27632
1329881,16640,4,0,0,8192,655,655
3050741,189056,28,0,0,8192,8192,174405
2138580,41728,11,0,0,8192,8192,30334
1808935,25216,8,0,0,8192,8192,13444
1647693,25088,7,0,0,8192,8192,14856
2013599,50048,13,0,0,8192,8192,34671
992373,33408,9,0,0,8192,8192,19425
1762787,25088,7,0,0,8192,8192,15520
736135,25088,7,0,0,8192,8192,12231
854585,16768,5,0,0,8192,679,679
1518192,16768,5,0,0,8192,664,664
1854267,33408,9,0,0,8192,8192,18276
1528939,16768,5,0,0,8192,625,625
1699626,25088,7,0,0,8192,8192,12443
2244472,66688,17,0,0,8192,8192,52852
1673530,16768,5,0,0,8192,736,736
2065268,41600,10,0,0,8192,8192,28168
614107,16768,5,0,0,8192,666,666
2525001,66688,17,0,0,8192,8192,52525
1528028,16768,5,0,0,8192,700,700
1772862,25088,7,0,0,8192,8192,15628
1681814,25088,7,0,0,8192,8192,11060
1701808,25088,7,0,0,8192,8192,11608
1497153,16768,5,0,0,8192,603,603
46255922,397563,711,0,0,8192,8192,36582
1782441,25088,7,0,0,8192,8192,12377
1864850,33408,9,0,0,8192,8192,17864
949642,33408,9,0,0,8192,8192,19334
2274300,25088,7,0,0,8192,8192,13547
631702,25088,7,0,0,8192,8192,9639
749321,58112,13,0,0,8192,8192,42592
553759,16768,5,0,0,8192,625,625
647905,16768,5,0,0,8192,655,655
649039,25088,7,0,0,8192,8192,12753
473730,24832,5,0,0,8192,8192,12647
832660,16768,5,0,0,8192,672,672
704132,16768,5,0,0,8192,649,649
811685,16768,5,0,0,8192,625,625
1738464,25088,7,0,0,8192,8192,10341
1804635,41600,10,0,0,8192,8192,31042
2029999,50048,13,0,0,8192,8192,35142
1536333,16768,5,0,0,8192,695,695
1764765,33280,8,0,0,8192,8192,17853
2069576,50048,13,0,0,8192,8192,34117
1904189,25088,7,0,0,8192,8192,11298
2351356,66560,16,0,0,8192,8192,51519
1798293,25088,7,0,0,8192,8192,14728
1589413,16768,5,0,0,8192,727,727
1636673,25088,7,0,0,8192,8192,9695
1470518,16768,5,0,0,8192,664,664
1875680,49792,11,0,0,8192,8192,34038
2068556,33024,6,0,0,8192,8192,17370
1707207,25088,7,0,0,8192,8192,15840
1877823,33408,9,0,0,8192,8192,17024
1009686,25088,7,0,0,8192,8192,11567
1790567,25088,7,0,0,8192,8192,10108
1658077,16768,5,0,0,8192,728,728
1674658,16768,5,0,0,8192,683,683
1721499,25088,7,0,0,8192,8192,8662
1516964,16768,5,0,0,8192,691,691
3545028,149248,32,0,0,8192,8192,136291
1653384,16768,5,0,0,8192,658,658
2045659,50048,13,0,0,8192,8192,35805
1469703,16768,5,0,0,8192,669,669
1236897,16768,5,0,0,8192,655,655
1578656,16768,5,0,0,8192,706,706
1984643,41728,11,0,0,8192,8192,30496
1531438,16768,5,0,0,8192,618,618
1959399,41728,11,0,0,8192,8192,26029
1615196,16768,5,0,0,8192,640,640
2931856,141568,35,0,0,8192,8192,126505
1442235,16768,5,0,0,8192,649,649
2804970,66304,14,0,0,8192,8192,51630
634515,16768,5,0,0,8192,703,703
1788072,41728,11,0,0,8192,8192,24850
522306,16640,4,0,0,8192,740,740
1761730,33408,9,0,0,8192,8192,22204
1395628,16640,4,0,0,8192,688,688
1817710,33408,9,0,0,8192,8192,22499
1448910,16768,5,0,0,8192,673,673
1795865,24960,6,0,0,8192,8192,13073
1831802,41728,11,0,0,8192,8192,26930
1740026,33408,9,0,0,8192,8192,16668
2455122,58368,15,0,0,8192,8192,44935
1680096,33280,8,0,0,8192,8192,17487
1372740,16640,4,0,0,8192,733,733
1591648,24960,6,0,0,8192,8192,10890
1866020,41728,11,0,0,8192,8192,25631
1369590,16640,4,0,0,8192,622,622
1476511,24960,6,0,0,8192,8192,13763
1300901,16640,4,0,0,8192,625,625
1434014,16768,5,0,0,8192,685,685
1708878,25088,7,0,0,8192,8192,12603
1569556,16640,4,0,0,8192,633,633
2037159,50048,13,0,0,8192,8192,33866
1540732,16768,5,0,0,8192,692,692
671906,16768,5,0,0,8192,709,709
898676,16640,4,0,0,8192,652,652
2572064,91648,23,0,0,8192,8192,75159
1357485,16640,4,0,0,8192,679,679
1580187,33024,6,0,0,8192,8192,17130
1400719,16768,5,0,0,8192,659,659
1464300,24960,6,0,0,8192,8192,10079
525229,16768,5,0,0,8192,652,652
1945380,41728,11,0,0,8192,8192,32134
597645,16640,4,0,0,8192,709,709
1295295,16640,4,0,0,8192,612,612
763610,66688,17,0,0,8192,8192,54377
672627,16768,5,0,0,8192,652,652
1377098,16640,4,0,0,8192,650,650
1571937,16768,5,0,0,8192,621,621
1678404,41728,11,0,0,8192,8192,24930
1934457,41728,11,0,0,8192,8192,32476
1854026,24960,6,0,0,8192,8192,13753
1832412,41728,11,0,0,8192,8192,31430
1718711,33408,9,0,0,8192,8192,18758
1376799,16640,4,0,0,8192,632,632
1411716,16640,4,0,0,8192,622,622
1373781,16640,4,0,0,8192,703,703
1522255,33152,7,0,0,8192,8192,17852
1542263,25088,7,0,0,8192,8192,10287
1872967,41728,11,0,0,8192,8192,27010
956283,33408,9,0,0,8192,8192,16901
1478009,16768,5,0,0,8192,649,649
1292971,16640,4,0,0,8192,646,646
1764880,33280,8,0,0,8192,8192,24471
2660508,91648,23,0,0,8192,8192,79016
1462132,16640,4,0,0,8192,628,628
1510710,24960,6,0,0,8192,8192,9014
1351163,16640,4,0,0,8192,666,666
1398044,16768,5,0,0,8192,633,633
1838319,41728,11,0,0,8192,8192,29737
796008,24832,5,0,0,8192,8192,10506
1417410,16640,4,0,0,8192,634,634
1431876,33152,7,0,0,8192,8192,17112
1943023,41728,11,0,0,8192,8192,30130
3981778,208128,51,0,0,8192,8192,191066
1653938,33408,9,0,0,8192,8192,18743
1477244,24960,6,0,0,8192,8192,16158
1378460,16768,5,0,0,8192,646,646
2746560,74752,17,0,0,8192,8192,63119
2288482,57728,10,0,0,8192,8192,45166
1800454,25088,7,0,0,8192,8192,10556
1575155,33152,7,0,0,8192,8192,22858
1017302,16768,5,0,0,8192,673,673
853636,25088,7,0,0,8192,8192,9655
1809932,25088,7,0,0,8192,8192,12513
1016214,16640,4,0,0,8192,662,662
1471247,25088,7,0,0,8192,8192,13344
1451916,41344,8,0,0,8192,8192,27309
869887,16640,4,0,0,8192,685,685
592892,16768,5,0,0,8192,652,652
722994,49920,12,0,0,8192,8192,37340
1244214,16768,5,0,0,8192,630,630
663605,33408,9,0,0,8192,8192,19711
651842,25088,7,0,0,8192,8192,15452
1382126,266240,64,0,0,8192,8192,247436
587723,33280,8,0,0,8192,8192,22092
610190,33152,7,0,0,8192,8192,17224
2199389,33408,9,0,0,8192,8192,17481
685272,49408,8,0,0,8192,8192,33758
679990,25088,7,0,0,8192,8192,13085
990307,25088,7,0,0,8192,8192,15061
2372854,66688,17,0,0,8192,8192,56118
1015692,16640,4,0,0,8192,612,612
633283,16768,5,0,0,8192,613,613
1285956,25088,7,0,0,8192,8192,11877
691372,33408,9,0,0,8192,8192,17156
756954,33408,9,0,0,8192,8192,21813
2249692,41728,11,0,0,8192,8192,30132
569217,16768,5,0,0,8192,766,766
1451899,16640,4,0,0,8192,721,721
686956,16640,4,0,0,8192,700,700
990868,25088,7,0,0,8192,8192,16361
1180179,49792,11,0,0,8192,8192,37553
656219,16768,5,0,0,8192,600,600
575257,16768,5,0,0,8192,724,724
571969,16640,4,0,0,8192,636,636
615608,33408,9,0,0,8192,8192,16628
606932,24960,6,0,0,8192,8192,10915
605925,16768,5,0,0,8192,676,676
543421,16768,5,0,0,8192,649,649
802632,25088,7,0,0,8192,8192,9434
1075661,25088,7,0,0,8192,8192,12369
683613,25088,7,0,0,8192,8192,11332
983822,57600,9,0,0,8192,8192,49152
1744757,49920,12,0,0,8192,8192,39582
1695444,33024,6,0,0,8192,8192,20733
1188969,25088,7,0,0,8192,8192,9178
2039762,49920,12,0,0,8192,8192,38000
723930,25088,7,0,0,8192,8192,11595
709498,33408,9,0,0,8192,8192,22999
628769,16768,5,0,0,8192,673,673
2005394,16640,4,0,0,8192,622,622
